"","enzyme_gene","class"
"519","CMKMT","Calmodulin-lysine N-methyltransferase"
"520","MET16","mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase"
"521","MTA70","mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase"
"522","MGMT","Methylated-DNA--[protein]-cysteine S-methyltransferase"
"523","COQ3","3-demethylubiquinol 3-O-methyltransferase"
"524","TPMT","Thiopurine S-methyltransferase"
"525","PEMT","Phosphatidyl-N-methylethanolamine N-methyltransferase"
"526","N6MT1","Site-specific DNA-methyltransferase (adenine-specific)"
"527","PIMT","Protein-L-isoaspartate(D-aspartate) O-methyltransferase"
"528","INMT","Thioether S-methyltransferase"
"529","ICMT","Protein-S-isoprenylcysteine O-methyltransferase"
"530","COQ3","Polyprenyldihydroxybenzoate methyltransferase"
"531","AS3MT","Arsenite methyltransferase"
"532","DIM1","18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase"
"533","COQ5","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"
"534","NSUN2","tRNA (cytosine(34)-C(5))-methyltransferase"
"535","TRDMT","tRNA (cytosine(38)-C(5))-methyltransferase"
"536","TRM7","tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase"
"537","TRM44","tRNA(Ser) (uridine(44)-2'-O)-methyltransferase"
"538","TRM1","tRNA (guanine(26)-N(2))-dimethyltransferase"
"539","TM10C","tRNA (adenine(9)-N(1))-methyltransferase"
"540","TR61B","tRNA (adenine(58)-N(1))-methyltransferase"
"541","TRM61","tRNA (adenine(58)-N(1))-methyltransferase"
"542","TM10A","tRNA (guanine(9)-N(1))-methyltransferase"
"543","TM10B","tRNA (guanine(9)-N(1))-methyltransferase"
"544","TM10C","tRNA (guanine(9)-N(1))-methyltransferase"
"545","TRM13","tRNA:m(4)X modification enzyme"
"546","TRM5","tRNA (guanine(37)-N(1))-methyltransferase"
"547","ALKB8","tRNA (carboxymethyluridine(34)-5-O)-methyltransferase"
"548","LCMT1","[Phosphatase 2A protein]-leucine-carboxy methyltransferase"
"549","NTM1A","Protein N-terminal methyltransferase"
"550","TYW3","methyltransferase"
"551","TYW4","tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase"
"552","CMTR2","Methyltransferase cap2"
"553","NTM1B","Protein N-terminal monomethyltransferase"
"554","DPH5","Diphthine methyl ester synthase"
"555","ANM1","Type I protein arginine methyltransferase"
"556","ANM2","Type I protein arginine methyltransferase"
"557","ANM6","Type I protein arginine methyltransferase"
"558","ANM8","Type I protein arginine methyltransferase"
"559","CARM1","Type I protein arginine methyltransferase"
"560","ANM5","Type II protein arginine methyltransferase"
"561","ANM9","Type II protein arginine methyltransferase"
"562","NDUF7","Type II protein arginine methyltransferase"
"563","ANM7","Type III protein arginine methyltransferase"
"564","ANM8","Type III protein arginine methyltransferase"
"565","MET16","U6 snRNA m(6)A methyltransferase"
"566","HENMT","Small RNA 2'-O-methyltransferase"
"567","GLYC","Glycine hydroxymethyltransferase"
"568","GLYM","Glycine hydroxymethyltransferase"
"569","PUR2","Phosphoribosylglycinamide formyltransferase"
"570","PUR9","Phosphoribosylaminoimidazolecarboxamide formyltransferase"
"571","FTCD","Glutamate formimidoyltransferase"
"572","FMT","Methionyl-tRNA formyltransferase"
"573","GCST","Aminomethyltransferase"
"574","PYR1","Aspartate carbamoyltransferase"
"575","OTC","Ornithine carbamoyltransferase"
"576","GATM","Glycine amidinotransferase"
"577","TKTL1","Transketolase"
"578","TKTL2","Transketolase"
"579","TKT","Transketolase"
"580","TALDO","Transaldolase"
"581","NAGS","Amino-acid N-acetyltransferase"
"582","GNA1","Glucosamine-phosphate N-acetyltransferase"
"583","ARY1","Arylamine N-acetyltransferase"
"584","ARY2","Arylamine N-acetyltransferase"
"585","CLAT","Choline O-acetyltransferase"
"586","CACP","Carnitine O-acetyltransferase"
"587","THIC","Acetyl-CoA C-acetyltransferase"
"588","THIL","Acetyl-CoA C-acetyltransferase"
"589","ODP2","Dihydrolipoyllysine-residue acetyltransferase"
"590","GLYAT","Glycine N-acyltransferase"
"591","GLYL2","Glycine N-acyltransferase"
"592","GPAT1","Glycerol-3-phosphate 1-O-acyltransferase"
"593","GPAT2","Glycerol-3-phosphate 1-O-acyltransferase"
"594","GPAT3","Glycerol-3-phosphate 1-O-acyltransferase"
"595","GPAT4","Glycerol-3-phosphate 1-O-acyltransferase"
"596","ECHB","Acetyl-CoA C-acyltransferase"
"597","THIK","Acetyl-CoA C-acyltransferase"
"598","THIM","Acetyl-CoA C-acyltransferase"
"599","NAT8L","Aspartate N-acetyltransferase"
"600","DGAT1","Diacylglycerol O-acyltransferase"
"601","DGAT2","Diacylglycerol O-acyltransferase"
"602","MOGT3","Diacylglycerol O-acyltransferase"
"603","CPT1A","Carnitine O-palmitoyltransferase"
"604","CPT1B","Carnitine O-palmitoyltransferase"
"605","CPT1C","Carnitine O-palmitoyltransferase"
"606","CPT2","Carnitine O-palmitoyltransferase"
"607","MOGT1","2-acylglycerol O-acyltransferase"
"608","MOGT2","2-acylglycerol O-acyltransferase"
"609","MOGT3","2-acylglycerol O-acyltransferase"
"610","LPCT4","1-acylglycerophosphocholine O-acyltransferase"
"611","MBOA5","1-acylglycerophosphocholine O-acyltransferase"
"612","PCAT1","1-acylglycerophosphocholine O-acyltransferase"
"613","PCAT2","1-acylglycerophosphocholine O-acyltransferase"
"614","CERS3","Sphingosine N-acyltransferase"
"615","CERS5","Sphingosine N-acyltransferase"
"616","SOAT1","Sterol O-acyltransferase"
"617","SOAT2","Sterol O-acyltransferase"
"618","KBL","Glycine C-acetyltransferase"
"619","HEM0","5-aminolevulinate synthase"
"620","HEM1","5-aminolevulinate synthase"
"621","FAS","[Acyl-carrier-protein] S-acetyltransferase"
"622","FABD","[Acyl-carrier-protein] S-malonyltransferase"
"623","FAS","[Acyl-carrier-protein] S-malonyltransferase"
"624","FAS","Beta-ketoacyl-[acyl-carrier-protein] synthase I"
"625","OXSM","Beta-ketoacyl-[acyl-carrier-protein] synthase I"
"626","GNPAT","Glycerone-phosphate O-acyltransferase"
"627","LCAT","Phosphatidylcholine--sterol O-acyltransferase"
"628","CASD1","N-acetylneuraminate 7-O(or 9-O)-acetyltransferase"
"629","ATF2","Histone acetyltransferase"
"630","CBP","Histone acetyltransferase"
"631","CDY1","Histone acetyltransferase"
"632","CDY2","Histone acetyltransferase"
"633","CLOCK","Histone acetyltransferase"
"634","ELP3","Histone acetyltransferase"
"635","EP300","Histone acetyltransferase"
"636","HAT1","Histone acetyltransferase"
"637","KAT2A","Histone acetyltransferase"
"638","KAT2B","Histone acetyltransferase"
"639","KAT5","Histone acetyltransferase"
"640","KAT6A","Histone acetyltransferase"
"641","KAT6B","Histone acetyltransferase"
"642","KAT7","Histone acetyltransferase"
"643","KAT8","Histone acetyltransferase"
"644","NAA60","Histone acetyltransferase"
"645","NCOA1","Histone acetyltransferase"
"646","NCOA3","Histone acetyltransferase"
"647","TAF1","Histone acetyltransferase"
"648","TF2B","Histone acetyltransferase"
"649","TF3C4","Histone acetyltransferase"
"650","SPTC1","Serine C-palmitoyltransferase"
"651","SPTC2","Serine C-palmitoyltransferase"
"652","SPTC3","Serine C-palmitoyltransferase"
"653","ABHD5","1-acylglycerol-3-phosphate O-acyltransferase"
"654","GPAT3","1-acylglycerol-3-phosphate O-acyltransferase"
"655","LCLT1","1-acylglycerol-3-phosphate O-acyltransferase"
"656","MBOA2","1-acylglycerol-3-phosphate O-acyltransferase"
"657","PCAT2","1-acylglycerol-3-phosphate O-acyltransferase"
"658","PLCA","1-acylglycerol-3-phosphate O-acyltransferase"
"659","PLCB","1-acylglycerol-3-phosphate O-acyltransferase"
"660","PLCC","1-acylglycerol-3-phosphate O-acyltransferase"
"661","PLCD","1-acylglycerol-3-phosphate O-acyltransferase"
"662","PLCE","1-acylglycerol-3-phosphate O-acyltransferase"
"663","PLPL3","1-acylglycerol-3-phosphate O-acyltransferase"
"664","SAT1","Diamine N-acetyltransferase"
"665","SAT2","Diamine N-acetyltransferase"
"666","ODO2","Dihydrolipoyllysine-residue succinyltransferase"
"667","BAAT","Bile acid-CoA:amino acid N-acyltransferase"
"668","LPCT4","1-alkylglycerophosphocholine O-acetyltransferase"
"669","PCAT1","1-alkylglycerophosphocholine O-acetyltransferase"
"670","PCAT2","1-alkylglycerophosphocholine O-acetyltransferase"
"671","GLYL1","Glutamine N-acyltransferase"
"672","GLYLB","Glutamine N-acyltransferase"
"673","GLYAT","Glycine N-benzoyltransferase"
"674","AWAT1","Long-chain-alcohol O-fatty-acyltransferase"
"675","AWAT2","Long-chain-alcohol O-fatty-acyltransferase"
"676","AWAT2","Retinol O-fatty-acyltransferase"
"677","DGAT1","Retinol O-fatty-acyltransferase"
"678","DGAT2","Retinol O-fatty-acyltransferase"
"679","HGNAT","Heparan-alpha-glucosaminide N-acetyltransferase"
"680","NAT8","Cysteine-S-conjugate N-acetyltransferase"
"681","FAS","Fatty-acid synthase"
"682","SNAT","Aralkylamine N-acetyltransferase"
"683","NMT1","Glycylpeptide N-tetradecanoyltransferase"
"684","NMT2","Glycylpeptide N-tetradecanoyltransferase"
"685","ATAT","Alpha-tubulin N-acetyltransferase"
"686","LPCT4","1-alkenylglycerophosphoethanolamine O-acyltransferase"
"687","LRAT","Phosphatidylcholine--retinol O-acyltransferase"
"688","OCTC","Carnitine O-octanoyltransferase"
"689","ODB2","Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase"
"690","NLTP","Propanoyl-CoA C-acyltransferase"
"691","LIPT2","Lipoyl(octanoyl) transferase"
"692","ELOV1","Very-long-chain 3-oxoacyl-CoA synthase"
"693","ELOV2","Very-long-chain 3-oxoacyl-CoA synthase"
"694","ELOV3","Very-long-chain 3-oxoacyl-CoA synthase"
"695","ELOV4","Very-long-chain 3-oxoacyl-CoA synthase"
"696","ELOV5","Very-long-chain 3-oxoacyl-CoA synthase"
"697","ELOV6","Very-long-chain 3-oxoacyl-CoA synthase"
"698","ELOV7","Very-long-chain 3-oxoacyl-CoA synthase"
"699","GLNA","Protein S-acyltransferase"
"700","ZDH11","Protein S-acyltransferase"
"701","ZDH12","Protein S-acyltransferase"
"702","ZDH13","Protein S-acyltransferase"
"703","ZDH14","Protein S-acyltransferase"
"704","ZDH15","Protein S-acyltransferase"
"705","ZDH16","Protein S-acyltransferase"
"706","ZDH17","Protein S-acyltransferase"
"707","ZDH18","Protein S-acyltransferase"
"708","ZDH19","Protein S-acyltransferase"
"709","ZDH20","Protein S-acyltransferase"
"710","ZDH21","Protein S-acyltransferase"
"711","ZDH22","Protein S-acyltransferase"
"712","ZDH23","Protein S-acyltransferase"
"713","ZDH24","Protein S-acyltransferase"
"714","ZDHC1","Protein S-acyltransferase"
"715","ZDHC2","Protein S-acyltransferase"
"716","ZDHC3","Protein S-acyltransferase"
"717","ZDHC4","Protein S-acyltransferase"
"718","ZDHC5","Protein S-acyltransferase"
"719","ZDHC6","Protein S-acyltransferase"
"720","ZDHC7","Protein S-acyltransferase"
"721","ZDHC8","Protein S-acyltransferase"
"722","ZDHC9","Protein S-acyltransferase"
"723","ZH11B","Protein S-acyltransferase"
"724","TYW4","methoxycarbonyltransferase"
"725","OSGEP","N(6)-L-threonylcarbamoyladenine synthase"
"726","OSGP2","N(6)-L-threonylcarbamoyladenine synthase"
"727","NAA20","N-terminal methionine N(alpha)-acetyltransferase NatB"
"728","NAA10","N-terminal amino-acid N(alpha)-acetyltransferase NatA"
"729","NAA11","N-terminal amino-acid N(alpha)-acetyltransferase NatA"
"730","NAA30","N-terminal methionine N(alpha)-acetyltransferase NatC"
"731","NAA40","N-terminal L-serine N(alpha)-acetyltransferase NatD"
"732","NAA50","N-terminal methionine N(alpha)-acetyltransferase NatE"
"733","NAA60","N-terminal methionine N(alpha)-acetyltransferase NatF"
"734","MBOA7","1-acyl-sn-glycerol-3-phosphate acyltransferase"
"735","LPCT4","1-acylglycerophosphoserine O-acyltransferase"
"736","MBOA1","1-acylglycerophosphoserine O-acyltransferase"
"737","MBOA5","1-acylglycerophosphoserine O-acyltransferase"
"738","LPCT4","1-acylglycerophosphoethanolamine O-acyltransferase"
"739","MBOA2","1-acylglycerophosphoethanolamine O-acyltransferase"
"740","GGT1","Gamma-glutamyltransferase"
"741","GGT3","Gamma-glutamyltransferase"
"742","GGT5","Gamma-glutamyltransferase"
"743","GGT6","Gamma-glutamyltransferase"
"744","GGT7","Gamma-glutamyltransferase"
"745","QPCTL","Glutaminyl-peptide cyclotransferase"
"746","QPCT","Glutaminyl-peptide cyclotransferase"
"747","ATE1","Arginyltransferase"
"748","F13A","Protein-glutamine gamma-glutamyltransferase"
"749","TGM1","Protein-glutamine gamma-glutamyltransferase"
"750","TGM2","Protein-glutamine gamma-glutamyltransferase"
"751","TGM3L","Protein-glutamine gamma-glutamyltransferase"
"752","TGM3","Protein-glutamine gamma-glutamyltransferase"
"753","TGM4","Protein-glutamine gamma-glutamyltransferase"
"754","TGM5","Protein-glutamine gamma-glutamyltransferase"
"755","TGM7","Protein-glutamine gamma-glutamyltransferase"
"756","U2QL1","E2 ubiquitin-conjugating enzyme"
"757","UB2D1","E2 ubiquitin-conjugating enzyme"
"758","UB2D2","E2 ubiquitin-conjugating enzyme"
"759","UB2D3","E2 ubiquitin-conjugating enzyme"
"760","UB2D4","E2 ubiquitin-conjugating enzyme"
"761","UB2E1","E2 ubiquitin-conjugating enzyme"
"762","UB2E2","E2 ubiquitin-conjugating enzyme"
"763","UB2E3","E2 ubiquitin-conjugating enzyme"
"764","UB2G1","E2 ubiquitin-conjugating enzyme"
"765","UB2G2","E2 ubiquitin-conjugating enzyme"
"766","UB2J1","E2 ubiquitin-conjugating enzyme"
"767","UB2J2","E2 ubiquitin-conjugating enzyme"
"768","UB2L3","E2 ubiquitin-conjugating enzyme"
"769","UB2L5","E2 ubiquitin-conjugating enzyme"
"770","UB2L6","E2 ubiquitin-conjugating enzyme"
"771","UB2Q1","E2 ubiquitin-conjugating enzyme"
"772","UB2Q2","E2 ubiquitin-conjugating enzyme"
"773","UB2R1","E2 ubiquitin-conjugating enzyme"
"774","UB2R2","E2 ubiquitin-conjugating enzyme"
"775","UBE2A","E2 ubiquitin-conjugating enzyme"
"776","UBE2B","E2 ubiquitin-conjugating enzyme"
"777","UBE2C","E2 ubiquitin-conjugating enzyme"
"778","UBE2H","E2 ubiquitin-conjugating enzyme"
"779","UBE2K","E2 ubiquitin-conjugating enzyme"
"780","UBE2N","E2 ubiquitin-conjugating enzyme"
"781","UBE2S","E2 ubiquitin-conjugating enzyme"
"782","UBE2T","E2 ubiquitin-conjugating enzyme"
"783","UBE2U","E2 ubiquitin-conjugating enzyme"
"784","UBE2W","E2 ubiquitin-conjugating enzyme"
"785","UBE2Z","E2 ubiquitin-conjugating enzyme"
"786","UB2D1","(E3-independent) E2 ubiquitin-conjugating enzyme"
"787","UB2D2","(E3-independent) E2 ubiquitin-conjugating enzyme"
"788","UB2D3","(E3-independent) E2 ubiquitin-conjugating enzyme"
"789","UB2E1","(E3-independent) E2 ubiquitin-conjugating enzyme"
"790","UB2R1","(E3-independent) E2 ubiquitin-conjugating enzyme"
"791","UBE2C","(E3-independent) E2 ubiquitin-conjugating enzyme"
"792","UBE2H","(E3-independent) E2 ubiquitin-conjugating enzyme"
"793","UBE2O","(E3-independent) E2 ubiquitin-conjugating enzyme"
"794","UBE2W","N-terminal E2 ubiquitin-conjugating enzyme"
"795","AREL1","HECT-type E3 ubiquitin transferase"
"796","G2E3","HECT-type E3 ubiquitin transferase"
"797","HACE1","HECT-type E3 ubiquitin transferase"
"798","HECD1","HECT-type E3 ubiquitin transferase"
"799","HECD2","HECT-type E3 ubiquitin transferase"
"800","HECD3","HECT-type E3 ubiquitin transferase"
"801","HECD4","HECT-type E3 ubiquitin transferase"
"802","HECW1","HECT-type E3 ubiquitin transferase"
"803","HECW2","HECT-type E3 ubiquitin transferase"
"804","HERC1","HECT-type E3 ubiquitin transferase"
"805","HERC2","HECT-type E3 ubiquitin transferase"
"806","HERC3","HECT-type E3 ubiquitin transferase"
"807","HERC4","HECT-type E3 ubiquitin transferase"
"808","HERC6","HECT-type E3 ubiquitin transferase"
"809","HUWE1","HECT-type E3 ubiquitin transferase"
"810","ITCH","HECT-type E3 ubiquitin transferase"
"811","NED4L","HECT-type E3 ubiquitin transferase"
"812","NEDD4","HECT-type E3 ubiquitin transferase"
"813","SMUF1","HECT-type E3 ubiquitin transferase"
"814","SMUF2","HECT-type E3 ubiquitin transferase"
"815","TRIPC","HECT-type E3 ubiquitin transferase"
"816","UBE3A","HECT-type E3 ubiquitin transferase"
"817","UBE3B","HECT-type E3 ubiquitin transferase"
"818","UBE3C","HECT-type E3 ubiquitin transferase"
"819","UBE3D","HECT-type E3 ubiquitin transferase"
"820","UBR5","HECT-type E3 ubiquitin transferase"
"821","WWP1","HECT-type E3 ubiquitin transferase"
"822","WWP2","HECT-type E3 ubiquitin transferase"
"823","AMFR","RING-type E3 ubiquitin transferase"
"824","BARD1","RING-type E3 ubiquitin transferase"
"825","BIRC2","RING-type E3 ubiquitin transferase"
"826","BIRC3","RING-type E3 ubiquitin transferase"
"827","BIRC6","RING-type E3 ubiquitin transferase"
"828","BIRC7","RING-type E3 ubiquitin transferase"
"829","BRAP","RING-type E3 ubiquitin transferase"
"830","BRCA1","RING-type E3 ubiquitin transferase"
"831","BRE1A","RING-type E3 ubiquitin transferase"
"832","BRE1B","RING-type E3 ubiquitin transferase"
"833","CBLB","RING-type E3 ubiquitin transferase"
"834","CBLC","RING-type E3 ubiquitin transferase"
"835","CBLL2","RING-type E3 ubiquitin transferase"
"836","CBL","RING-type E3 ubiquitin transferase"
"837","CHFR","RING-type E3 ubiquitin transferase"
"838","CHIP","RING-type E3 ubiquitin transferase"
"839","CIP1","RING-type E3 ubiquitin transferase"
"840","CNOT4","RING-type E3 ubiquitin transferase"
"841","COP1","RING-type E3 ubiquitin transferase"
"842","DCST1","RING-type E3 ubiquitin transferase"
"843","DTX1","RING-type E3 ubiquitin transferase"
"844","DTX2","RING-type E3 ubiquitin transferase"
"845","DTX3L","RING-type E3 ubiquitin transferase"
"846","DTX3","RING-type E3 ubiquitin transferase"
"847","DTX4","RING-type E3 ubiquitin transferase"
"848","DZIP3","RING-type E3 ubiquitin transferase"
"849","E4F1","RING-type E3 ubiquitin transferase"
"850","FANCL","RING-type E3 ubiquitin transferase"
"851","GOLI","RING-type E3 ubiquitin transferase"
"852","HAKAI","RING-type E3 ubiquitin transferase"
"853","HLTF","RING-type E3 ubiquitin transferase"
"854","I2BP1","RING-type E3 ubiquitin transferase"
"855","JADE2","RING-type E3 ubiquitin transferase"
"856","KCMF1","RING-type E3 ubiquitin transferase"
"857","LIN41","RING-type E3 ubiquitin transferase"
"858","LNX1","RING-type E3 ubiquitin transferase"
"859","LRSM1","RING-type E3 ubiquitin transferase"
"860","LTN1","RING-type E3 ubiquitin transferase"
"861","MAEA","RING-type E3 ubiquitin transferase"
"862","MARH1","RING-type E3 ubiquitin transferase"
"863","MARH2","RING-type E3 ubiquitin transferase"
"864","MARH3","RING-type E3 ubiquitin transferase"
"865","MARH4","RING-type E3 ubiquitin transferase"
"866","MARH5","RING-type E3 ubiquitin transferase"
"867","MARH6","RING-type E3 ubiquitin transferase"
"868","MARH7","RING-type E3 ubiquitin transferase"
"869","MARH8","RING-type E3 ubiquitin transferase"
"870","MARH9","RING-type E3 ubiquitin transferase"
"871","MARHA","RING-type E3 ubiquitin transferase"
"872","MARHB","RING-type E3 ubiquitin transferase"
"873","MDM2","RING-type E3 ubiquitin transferase"
"874","MEX3C","RING-type E3 ubiquitin transferase"
"875","MGRN1","RING-type E3 ubiquitin transferase"
"876","MIB1","RING-type E3 ubiquitin transferase"
"877","MIB2","RING-type E3 ubiquitin transferase"
"878","MKRN1","RING-type E3 ubiquitin transferase"
"879","MKRN2","RING-type E3 ubiquitin transferase"
"880","MKRN3","RING-type E3 ubiquitin transferase"
"881","MKRN4","RING-type E3 ubiquitin transferase"
"882","MUL1","RING-type E3 ubiquitin transferase"
"883","MYLIP","RING-type E3 ubiquitin transferase"
"884","NEU1B","RING-type E3 ubiquitin transferase"
"885","NEUL1","RING-type E3 ubiquitin transferase"
"886","NEUL3","RING-type E3 ubiquitin transferase"
"887","NHLC1","RING-type E3 ubiquitin transferase"
"888","NOSIP","RING-type E3 ubiquitin transferase"
"889","NSE1","RING-type E3 ubiquitin transferase"
"890","PELI1","RING-type E3 ubiquitin transferase"
"891","PELI2","RING-type E3 ubiquitin transferase"
"892","PELI3","RING-type E3 ubiquitin transferase"
"893","PIAS4","RING-type E3 ubiquitin transferase"
"894","PJA1","RING-type E3 ubiquitin transferase"
"895","PJA2","RING-type E3 ubiquitin transferase"
"896","PP1RB","RING-type E3 ubiquitin transferase"
"897","PPIL2","RING-type E3 ubiquitin transferase"
"898","PRP19","RING-type E3 ubiquitin transferase"
"899","PZRN3","RING-type E3 ubiquitin transferase"
"900","R113A","RING-type E3 ubiquitin transferase"
"901","RAD18","RING-type E3 ubiquitin transferase"
"902","RAG1","RING-type E3 ubiquitin transferase"
"903","RBBP6","RING-type E3 ubiquitin transferase"
"904","RBX1","RING-type E3 ubiquitin transferase"
"905","RC3H1","RING-type E3 ubiquitin transferase"
"906","RC3H2","RING-type E3 ubiquitin transferase"
"907","RFFL","RING-type E3 ubiquitin transferase"
"908","RFWD3","RING-type E3 ubiquitin transferase"
"909","RING1","RING-type E3 ubiquitin transferase"
"910","RING2","RING-type E3 ubiquitin transferase"
"911","RMD5A","RING-type E3 ubiquitin transferase"
"912","RMD5B","RING-type E3 ubiquitin transferase"
"913","RN103","RING-type E3 ubiquitin transferase"
"914","RN111","RING-type E3 ubiquitin transferase"
"915","RN112","RING-type E3 ubiquitin transferase"
"916","RN114","RING-type E3 ubiquitin transferase"
"917","RN115","RING-type E3 ubiquitin transferase"
"918","RN123","RING-type E3 ubiquitin transferase"
"919","RN125","RING-type E3 ubiquitin transferase"
"920","RN126","RING-type E3 ubiquitin transferase"
"921","RN128","RING-type E3 ubiquitin transferase"
"922","RN133","RING-type E3 ubiquitin transferase"
"923","RN135","RING-type E3 ubiquitin transferase"
"924","RN138","RING-type E3 ubiquitin transferase"
"925","RN139","RING-type E3 ubiquitin transferase"
"926","RN145","RING-type E3 ubiquitin transferase"
"927","RN146","RING-type E3 ubiquitin transferase"
"928","RN149","RING-type E3 ubiquitin transferase"
"929","RN152","RING-type E3 ubiquitin transferase"
"930","RN157","RING-type E3 ubiquitin transferase"
"931","RN165","RING-type E3 ubiquitin transferase"
"932","RN167","RING-type E3 ubiquitin transferase"
"933","RN168","RING-type E3 ubiquitin transferase"
"934","RN169","RING-type E3 ubiquitin transferase"
"935","RN170","RING-type E3 ubiquitin transferase"
"936","RN180","RING-type E3 ubiquitin transferase"
"937","RN181","RING-type E3 ubiquitin transferase"
"938","RN182","RING-type E3 ubiquitin transferase"
"939","RN183","RING-type E3 ubiquitin transferase"
"940","RN185","RING-type E3 ubiquitin transferase"
"941","RN186","RING-type E3 ubiquitin transferase"
"942","RN187","RING-type E3 ubiquitin transferase"
"943","RN213","RING-type E3 ubiquitin transferase"
"944","RN216","RING-type E3 ubiquitin transferase"
"945","RN220","RING-type E3 ubiquitin transferase"
"946","RNF12","RING-type E3 ubiquitin transferase"
"947","RNF13","RING-type E3 ubiquitin transferase"
"948","RNF25","RING-type E3 ubiquitin transferase"
"949","RNF26","RING-type E3 ubiquitin transferase"
"950","RNF34","RING-type E3 ubiquitin transferase"
"951","RNF37","RING-type E3 ubiquitin transferase"
"952","RNF38","RING-type E3 ubiquitin transferase"
"953","RNF41","RING-type E3 ubiquitin transferase"
"954","RNF43","RING-type E3 ubiquitin transferase"
"955","RNF4","RING-type E3 ubiquitin transferase"
"956","RNF5","RING-type E3 ubiquitin transferase"
"957","RNF6","RING-type E3 ubiquitin transferase"
"958","RNF8","RING-type E3 ubiquitin transferase"
"959","RNFT1","RING-type E3 ubiquitin transferase"
"960","RO52","RING-type E3 ubiquitin transferase"
"961","SH3R1","RING-type E3 ubiquitin transferase"
"962","SH3R2","RING-type E3 ubiquitin transferase"
"963","SH3R3","RING-type E3 ubiquitin transferase"
"964","SHPRH","RING-type E3 ubiquitin transferase"
"965","SIAH1","RING-type E3 ubiquitin transferase"
"966","SIAH2","RING-type E3 ubiquitin transferase"
"967","SYVN1","RING-type E3 ubiquitin transferase"
"968","TIF1A","RING-type E3 ubiquitin transferase"
"969","TIF1B","RING-type E3 ubiquitin transferase"
"970","TM129","RING-type E3 ubiquitin transferase"
"971","TOPRS","RING-type E3 ubiquitin transferase"
"972","TRAF2","RING-type E3 ubiquitin transferase"
"973","TRAF3","RING-type E3 ubiquitin transferase"
"974","TRAF6","RING-type E3 ubiquitin transferase"
"975","TRAF7","RING-type E3 ubiquitin transferase"
"976","TRAIP","RING-type E3 ubiquitin transferase"
"977","TRI11","RING-type E3 ubiquitin transferase"
"978","TRI13","RING-type E3 ubiquitin transferase"
"979","TRI16","RING-type E3 ubiquitin transferase"
"980","TRI17","RING-type E3 ubiquitin transferase"
"981","TRI18","RING-type E3 ubiquitin transferase"
"982","TRI22","RING-type E3 ubiquitin transferase"
"983","TRI23","RING-type E3 ubiquitin transferase"
"984","TRI25","RING-type E3 ubiquitin transferase"
"985","TRI26","RING-type E3 ubiquitin transferase"
"986","TRI27","RING-type E3 ubiquitin transferase"
"987","TRI31","RING-type E3 ubiquitin transferase"
"988","TRI32","RING-type E3 ubiquitin transferase"
"989","TRI33","RING-type E3 ubiquitin transferase"
"990","TRI36","RING-type E3 ubiquitin transferase"
"991","TRI37","RING-type E3 ubiquitin transferase"
"992","TRI38","RING-type E3 ubiquitin transferase"
"993","TRI39","RING-type E3 ubiquitin transferase"
"994","TRI41","RING-type E3 ubiquitin transferase"
"995","TRI47","RING-type E3 ubiquitin transferase"
"996","TRI50","RING-type E3 ubiquitin transferase"
"997","TRI56","RING-type E3 ubiquitin transferase"
"998","TRI58","RING-type E3 ubiquitin transferase"
"999","TRI62","RING-type E3 ubiquitin transferase"
"1000","TRI63","RING-type E3 ubiquitin transferase"
"1001","TRI68","RING-type E3 ubiquitin transferase"
"1002","TRI69","RING-type E3 ubiquitin transferase"
"1003","TRIM1","RING-type E3 ubiquitin transferase"
"1004","TRIM2","RING-type E3 ubiquitin transferase"
"1005","TRIM4","RING-type E3 ubiquitin transferase"
"1006","TRIM5","RING-type E3 ubiquitin transferase"
"1007","TRIM6","RING-type E3 ubiquitin transferase"
"1008","TRIM7","RING-type E3 ubiquitin transferase"
"1009","TRIM8","RING-type E3 ubiquitin transferase"
"1010","TRIM9","RING-type E3 ubiquitin transferase"
"1011","TRIML","RING-type E3 ubiquitin transferase"
"1012","TRIMM","RING-type E3 ubiquitin transferase"
"1013","TTC3","RING-type E3 ubiquitin transferase"
"1014","UBE4A","RING-type E3 ubiquitin transferase"
"1015","UBE4B","RING-type E3 ubiquitin transferase"
"1016","UBR1","RING-type E3 ubiquitin transferase"
"1017","UBR2","RING-type E3 ubiquitin transferase"
"1018","UBR3","RING-type E3 ubiquitin transferase"
"1019","UBR4","RING-type E3 ubiquitin transferase"
"1020","UBR7","RING-type E3 ubiquitin transferase"
"1021","UHRF1","RING-type E3 ubiquitin transferase"
"1022","UHRF2","RING-type E3 ubiquitin transferase"
"1023","XIAP","RING-type E3 ubiquitin transferase"
"1024","ZFP91","RING-type E3 ubiquitin transferase"
"1025","ZN363","RING-type E3 ubiquitin transferase"
"1026","ZN598","RING-type E3 ubiquitin transferase"
"1027","ZNRF1","RING-type E3 ubiquitin transferase"
"1028","ZNRF2","RING-type E3 ubiquitin transferase"
