"Type","Family id","Family name","Target id","Target name","Subunits","Target systematic name","Target abbreviated name","synonyms","HGNC id","HGNC symbol","HGNC name","Human genetic localisation","Human nucleotide RefSeq","Human protein RefSeq","Human SwissProt","Human Entrez Gene","RGD id","RGD symbol","RGD name","Rat genetic localisation","Rat nucleotide RefSeq","Rat protein RefSeq","Rat SwissProt","Rat Entrez Gene","MGI id","MGI symbol","MGI name","Mouse genetic localisation","Mouse nucleotide RefSeq","Mouse protein RefSeq","Mouse SwissProt","Mouse Entrez Gene"
"catalytic_receptor","313","IL-17 receptor family","1741","Interleukin-17 receptor D","","","","SEF|IL17RLM","17616","IL17RD","interleukin 17 receptor D","03p14.3","","","Q8NFM7","54756","1565237","Il17rd","interleukin 17 receptor D","","","","","498576","MGI:2159727","Il17rd","interleukin 17 receptor D","","","","Q8JZL1","171463"
"catalytic_receptor","313","IL-17 receptor family","1742","Interleukin 17 receptor E","","","","IL-17 receptor E|Il25r|Interleukin-17 &epsilon; receptor","18439","IL17RE","interleukin 17 receptor E","03p25.3","","","Q8NFR9","132014","735148","Il17re","interleukin 17 receptor E","","","","Q6AZ51","362417","MGI:1889371","Il17re","interleukin 17 receptor E","","","","Q8BH06","57890"
"catalytic_receptor","305","IL-2 receptor family","2297","Interleukin-2 receptor","Interleukin-2 receptor subunit &alpha;|Interleukin-2 receptor subunit &beta;|Interleukin-2 receptor subunit &gamma;","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","305","IL-2 receptor family","2298","Interleukin-4 receptor type I","Interleukin-4 receptor subunit &alpha;|Interleukin-2 receptor subunit &gamma;","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","305","IL-2 receptor family","2299","Interleukin-4 receptor type II","Interleukin-4 receptor subunit &alpha;|Interleukin-13 receptor subunit &alpha;1","","","interleukin-13 receptor","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","305","IL-2 receptor family","2300","Interleukin-7 receptor","Interleukin-7 receptor subunit &alpha;|Interleukin-2 receptor subunit &gamma;","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","305","IL-2 receptor family","2301","Interleukin-9 receptor","Interleukin 9 receptor|Interleukin-2 receptor subunit &gamma;","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","305","IL-2 receptor family","1701","Interleukin 13 receptor, &alpha;2","","","","cancer/testis antigen 19|CD213a2|CT19|IL13BP|IL-13RA2|IL-13 receptor alpha-2|IL-13R subunit alpha-2","5975","IL13RA2","interleukin 13 receptor subunit alpha 2","Xq23","","","Q14627","3598","620838","Il13ra2","interleukin 13 receptor subunit alpha 2","","","","Q8VHK6","171060","MGI:1277954","Il13ra2","interleukin 13 receptor, alpha 2","","","","O88786","16165"
"catalytic_receptor","305","IL-2 receptor family","2302","Interleukin-15 receptor","Interleukin-2 receptor subunit &beta;|Interleukin-15 receptor subunit &alpha;|Interleukin-2 receptor subunit &gamma;","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","305","IL-2 receptor family","2304","Interleukin-21 receptor","Interleukin 21 receptor|Interleukin-2 receptor subunit &gamma;","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","305","IL-2 receptor family","2305","Thymic stromal lymphopoietin receptor","Interleukin-7 receptor subunit &alpha;|Cytokine receptor-like factor 2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","305","IL-2 receptor family","1695","Interleukin-2 receptor subunit &alpha;","","","","CD25|TAC antigen|IL2RAC|IL-2R alpha chain|Ly-43","6008","IL2RA","interleukin 2 receptor subunit alpha","10p15.1","","","P01589","3559","2895","Il2ra","interleukin 2 receptor subunit alpha","","","","P26897","25704","MGI:96549","Il2ra","interleukin 2 receptor, alpha chain","","","","P01590","16184"
"catalytic_receptor","305","IL-2 receptor family","1696","Interleukin-2 receptor subunit &beta;","","","","CD122|IL15RB|interleukin 15 receptor, beta|high affinity IL-2 receptor subunit beta|IL-2R subunit beta|IL-15 receptor beta chain|IL-2/15Rbeta","6009","IL2RB","interleukin 2 receptor subunit beta","22q12.3","","","P14784","3560","2896","Il2rb","interleukin 2 receptor subunit beta","","","","P26896","25746","MGI:96550","Il2rb","interleukin 2 receptor, beta chain","","","","P16297","16185"
"catalytic_receptor","305","IL-2 receptor family","2303","Interleukin-2 receptor subunit &gamma;","","","","CD132|cytokine receptor common subunit gamma|IL-2RG|interleukin 2 receptor, gamma","6010","IL2RG","interleukin 2 receptor subunit gamma","Xq13.1","","","P31785","3561","621466","Il2rg","interleukin 2 receptor subunit gamma","Xq31","","","","140924","MGI:96551","Il2rg","interleukin 2 receptor, gamma chain","X 43.9 cM","","","P34902","16186"
"catalytic_receptor","305","IL-2 receptor family","1697","Interleukin-4 receptor subunit &alpha;","","","","CD124|IL-4 receptor alpha chain|interleukin 4 receptor, alpha","6015","IL4R","interleukin 4 receptor","16p12.1-p11.2","","","P24394","3566","2899","Il4r","interleukin 4 receptor","1q36","","","Q63257","25084","MGI:105367","Il4ra","interleukin 4 receptor, alpha","7 68.94 cM","","","P16382","16190"
"catalytic_receptor","305","IL-2 receptor family","1698","Interleukin-7 receptor subunit &alpha;","","","","CD127|interleukin-7 receptor subunit alpha|IL-7 receptor alpha chain","6024","IL7R","interleukin 7 receptor","05p13.2","","","P16871","3575","1309776","Il7r","interleukin 7 receptor","","","","","294797","MGI:96562","Il7r","interleukin 7 receptor","","","","P16872","16197"
"catalytic_receptor","305","IL-2 receptor family","1699","Interleukin 9 receptor","","","","CD129","6030","IL9R","interleukin 9 receptor","Xq28 and Yq12","","","Q01113","3581","2907","Il9r","interleukin 9 receptor","","","","","24500","MGI:96564","Il9r","interleukin 9 receptor","","","","Q01114","16199"
"catalytic_receptor","305","IL-2 receptor family","1700","Interleukin-13 receptor subunit &alpha;1","","","","CD213a1|NR4|IL13 receptor alpha-1 chain|interleukin 13 receptor, alpha 1","5974","IL13RA1","interleukin 13 receptor subunit alpha 1","Xq24","","","P78552","3597","628741","Il13ra1","interleukin 13 receptor subunit alpha 1","","","","","252963","MGI:105052","Il13ra1","interleukin 13 receptor, alpha 1","","","","O09030","16164"
"catalytic_receptor","305","IL-2 receptor family","1702","Interleukin-15 receptor subunit &alpha;","","","","CD215|interleukin 15 receptor, alpha","5978","IL15RA","interleukin 15 receptor subunit alpha","10p15.1","","","Q13261","3601","1305149","Il15ra","interleukin 15 receptor subunit alpha","","","","","690369","MGI:104644","Il15ra","interleukin 15 receptor, alpha chain","","","","Q60819","16169"
"catalytic_receptor","305","IL-2 receptor family","1703","Interleukin 21 receptor","","","","NILR|CD360","6006","IL21R","interleukin 21 receptor","16p12.1","","","Q9HBE5","50615","1304950","Il21r","interleukin 21 receptor","","","","","308977","MGI:1890475","Il21r","interleukin 21 receptor","","","","Q9JHX3","60504"
"catalytic_receptor","305","IL-2 receptor family","1704","Cytokine receptor-like factor 2","","","","thymic stromal lymphopoietin protein receptor|Tpte2|TSLP receptor|Ly114|CRL2|transmembrane phosphoinositide 3-phosphatase and tensin homolog 2","14281","CRLF2","cytokine receptor like factor 2","Xp22.3 and Yp11.3","","","Q9HC73","64109","621078","Crlf2","cytokine receptor-like factor 2","","","","Q8R4S8","171499","MGI:1889506","Crlf2","cytokine receptor-like factor 2","","","","Q8CII9","57914"
"catalytic_receptor","306","IL-3 receptor family","2307","Interleukin-3 receptor","Interleukin 3 receptor, &alpha; subunit|Cytokine receptor common &beta; subunit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","306","IL-3 receptor family","2308","Interleukin-5 receptor","Interleukin 5 receptor, &alpha; subunit|Cytokine receptor common &beta; subunit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","306","IL-3 receptor family","2309","Granulocyte macrophage colony-stimulating factor receptor","GM-CSF receptor, &alpha; subunit|Cytokine receptor common &beta; subunit","","","GM-CSF receptor","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","306","IL-3 receptor family","1705","Interleukin 3 receptor, &alpha; subunit","","","","CD123|cytokine receptor-like protein CYRL|SUT-1|interleukin 3 receptor, alpha (low affinity)","6012","IL3RA","interleukin 3 receptor subunit alpha","Xp22.3 and Yp13.3","","","P26951","3563","628728","Il3ra","interleukin 3 receptor subunit alpha","","","","","246144","MGI:96553","Il3ra","interleukin 3 receptor, alpha chain","","","","P26952","16188"
"catalytic_receptor","306","IL-3 receptor family","1706","Interleukin 5 receptor, &alpha; subunit","","","","CD125|interleukin-5 receptor subunit alpha","6017","IL5RA","interleukin 5 receptor subunit alpha","03p26.2","","","Q01344","3568","70938","Il5ra","interleukin 5 receptor subunit alpha","","","","","114103","MGI:96558","Il5ra","interleukin 5 receptor, alpha","","","","P21183","16192"
"catalytic_receptor","306","IL-3 receptor family","1707","GM-CSF receptor, &alpha; subunit","","","","CD116|granulocyte-macrophage colony stimulating receptor alpha|Csfgmra|CSF2R|colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)","2435","CSF2RA","colony stimulating factor 2 receptor alpha subunit","Xp22.32 and Yp11.3","","","P15509","1438","1594330","Csf2ra","colony stimulating factor 2 receptor alpha subunit","14","","","","","MGI:1339754","Csf2ra","colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)","19 56.89 cM","","","Q00941","12982"
"catalytic_receptor","306","IL-3 receptor family","2306","Cytokine receptor common &beta; subunit","","","","CD131|GM-CSF/IL-3/IL-5 receptor common beta subunit|colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)","2436","CSF2RB","colony stimulating factor 2 receptor beta common subunit","22q12.3","","","P32927","","620189","Csf2rb","colony stimulating factor 2 receptor beta common subunit","7q34","","","","","MGI:1339759","Csf2rb","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)","15 37.36 cM","","","P26955",""
"catalytic_receptor","307","IL-6 receptor family","2310","Interleukin-6 receptor","Interleukin-6 receptor, &alpha; subunit|Interleukin-6 receptor, &beta; subunit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","307","IL-6 receptor family","2311","Interleukin-11 receptor","Interleukin-11 receptor, &alpha; subunit|Interleukin-6 receptor, &beta; subunit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","307","IL-6 receptor family","2316","Interleukin-27 receptor","Interleukin 27 receptor, alpha|Interleukin-6 receptor, &beta; subunit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","307","IL-6 receptor family","2312","Interleukin-31 receptor","Interleukin-31 receptor, &alpha; subunit|Oncostatin M-specific receptor, &beta; subunit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","307","IL-6 receptor family","2313","Ciliary neutrophic factor receptor","Ciliary neurotrophic factor receptor &alpha; subunit|Leukemia inhibitory factor receptor|Interleukin-6 receptor, &beta; subunit","","","CNTF receptor","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","307","IL-6 receptor family","2314","Leukemia inhibitory factor receptor","Leukemia inhibitory factor receptor|Interleukin-6 receptor, &beta; subunit","","","LIF receptor","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","307","IL-6 receptor family","2315","Oncostatin-M receptor","Oncostatin M-specific receptor, &beta; subunit|Interleukin-6 receptor, &beta; subunit","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","307","IL-6 receptor family","1708","Interleukin-6 receptor, &alpha; subunit","","interleukin 6 receptor","IL6R","CD126|IL-6R subunit alpha","6019","IL6R","interleukin 6 receptor","1q21","","","P08887","3570","2902","Il6r","interleukin 6 receptor","2q34","","","P22273","24499","MGI:105304","Il6ra","interleukin 6 receptor, alpha","3 39.19 cM","","","P22272","16194"
"catalytic_receptor","307","IL-6 receptor family","2317","Interleukin-6 receptor, &beta; subunit","","interleukin 6 signal transducer","IL6ST","CD130|gp130|interleukin-6 receptor subunit beta|membrane glycoprotein 130|oncostatin-M receptor subunit alpha|interleukin 6 signal transducer (gp130, oncostatin M receptor)","6021","IL6ST","interleukin 6 signal transducer","5q11.2","","","P40189","","2903","Il6st","interleukin 6 signal transducer","2q14-q16","","","P40190","","MGI:96560","Il6st","interleukin 6 signal transducer","13 63.73 cM","","","Q00560",""
"catalytic_receptor","307","IL-6 receptor family","1709","Interleukin-11 receptor, &alpha; subunit","","","","Il11ra|NR1|interleukin 11 receptor, alpha|interleukin 11 receptor","5967","IL11RA","interleukin 11 receptor subunit alpha","9p13","","","Q14626","3590","621332","Il11ra1","interleukin 11 receptor subunit alpha 1","5q22","","","Q99MF4","","MGI:107426","Il11ra1","interleukin 11 receptor, alpha chain 1","4 21.94 cM","","","Q64385","16157"
"catalytic_receptor","307","IL-6 receptor family","2318","Interleukin 27 receptor, alpha","","","","WSX-1|cytokine receptor-like 1|IL-27RA|TCCR|interleukin 27 receptor, alpha","17290","IL27RA","interleukin 27 receptor subunit alpha","19p13.12","","","Q6UWB1","","1305029","Il27ra","interleukin 27 receptor subunit alpha","19q11","","","","","MGI:1355318","Il27ra","interleukin 27 receptor, alpha","8 C3","","","O70394",""
"catalytic_receptor","307","IL-6 receptor family","1710","Interleukin-31 receptor, &alpha; subunit","","","","CRL|CRL3|interleukin-31 receptor subunit alpha|GPL|Glmr|NR10","18969","IL31RA","interleukin 31 receptor A","5q11.2","NM_001242636","NP_001229565","Q8NI17","133396","1586478","Il31ra","interleukin 31 receptor A","2q14","NM_001257278","NP_001244207","","688622","MGI:2180511","Il31ra","interleukin 31 receptor A","13 D2.2","NM_139299","NP_647460","Q8K5B1","218624"
"catalytic_receptor","307","IL-6 receptor family","1711","Ciliary neurotrophic factor receptor &alpha; subunit","","","","Ciliary neurotrophic factor &alpha; receptor","2170","CNTFR","ciliary neurotrophic factor receptor","","","","P26992","1271","1303100","Cntfr","ciliary neurotrophic factor receptor","","","","Q08406","313173","MGI:99605","Cntfr","ciliary neurotrophic factor receptor","","","","O88507","12804"
"catalytic_receptor","307","IL-6 receptor family","1712","Leptin receptor","","","","CD295|OB receptor|Modb1|OBR","6554","LEPR","leptin receptor","","","","P48357","3953","3001","Lepr","leptin receptor","","","","Q62959","24536","MGI:104993","Lepr","leptin receptor","","","","P48356","16847"
"catalytic_receptor","307","IL-6 receptor family","1713","Leukemia inhibitory factor receptor","","","","CD118|LIF receptor|soluble differentiation-stimulating factor receptor|Leukemia inhibitory factor receptor &alpha;|leukemia inhibitory factor receptor alpha","6597","LIFR","LIF receptor alpha","","","","P42702","3977","621431","Lifr","LIF receptor alpha","","","","O70535","81680","MGI:96788","Lifr","leukemia inhibitory factor receptor","","","","P42703","16880"
"catalytic_receptor","307","IL-6 receptor family","1714","Oncostatin M-specific receptor, &beta; subunit","","","","IL-31 receptor subunit beta|IL-31RB|interleukin-31 receptor subunit beta|oncostatin M receptor|OSMRB","8507","OSMR","oncostatin M receptor","","","","Q99650","9180","1302983","Osmr","oncostatin M receptor","","","","Q65Z14","310132","MGI:1330819","Osmr","oncostatin M receptor","","","","O70458","18414"
"catalytic_receptor","953","Immune checkpoint catalytic receptors","1874","CD40","","TNFRSF5","","CD40 molecule, TNF receptor superfamily member 5|TNFRSF5","11919","CD40","CD40 molecule","20q13.12","","","P25942","958","619830","Cd40","CD40 molecule","","","","","171369","MGI:88336","Cd40","CD40 antigen","","","","P27512","21939"
"catalytic_receptor","953","Immune checkpoint catalytic receptors","1887","herpes virus entry mediator","","TNFRSF14","HVEM","ATAR|Herpesvirus entry mediator A|HVEA|HVEM|TR2|tumor necrosis factor receptor superfamily, member 14|CD270|LIGHTR|tumor necrosis factor receptor superfamily","11912","TNFRSF14","TNF receptor superfamily member 14","01p36.32","","","Q92956","8764","1310115","Tnfrsf14","TNF receptor superfamily member 14","","","","","366518","MGI:2675303","Tnfrsf14","tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)","","","","","230979"
"catalytic_receptor","312","Immunoglobulin-like family of IL-1 receptors","1905","Interleukin-1 receptor, type I","Interleukin 1 receptor, type I|IL-1 receptor accessory protein","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","312","Immunoglobulin-like family of IL-1 receptors","1906","Interleukin-33 receptor","Interleukin-1 receptor-like 1|IL-1 receptor accessory protein","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","312","Immunoglobulin-like family of IL-1 receptors","1907","Interleukin-36 receptor","Interleukin-1 receptor-like 2|IL-1 receptor accessory protein","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","312","Immunoglobulin-like family of IL-1 receptors","2321","Interleukin-1 receptor, type II","Interleukin 1 receptor, type II|IL-1 receptor accessory protein","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","312","Immunoglobulin-like family of IL-1 receptors","1908","Interleukin-18 receptor","Interleukin-18 1|IL-18 receptor accessory protein","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"catalytic_receptor","312","Immunoglobulin-like family of IL-1 receptors","1734","Interleukin 1 receptor, type I","","","","CD121A|IL1RA|CD121 antigen-like family member A|IL-1R-alpha|interleukin 1 beta receptor type 1 short transmembrane form|interleukin 1 beta receptor type 1 soluble form|interleukin 1 bete receptor type 1 long transmembrane form|interleukin-1 receptor alpha","5993","IL1R1","interleukin 1 receptor type 1","2q12","","","P14778","3554","2892","Il1r1","interleukin 1 receptor type 1","9q21","","","Q02955","25663","MGI:96545","Il1r1","interleukin 1 receptor, type I","118.81 cM","","","P13504","16177"
"catalytic_receptor","312","Immunoglobulin-like family of IL-1 receptors","2319","Interleukin 1 receptor, type II","","","","interleukin 1 receptor, type II","5994","IL1R2","interleukin 1 receptor type 2","02q11.2","","","P27930","","621147","Il1r2","interleukin 1 receptor type 2","9q21","","","P43303","","MGI:96546","Il1r2","interleukin 1 receptor, type II","1 18.65 cM","","","P27931",""
"catalytic_receptor","312","Immunoglobulin-like family of IL-1 receptors","1735","Interleukin-1 receptor-like 1","","","","DER4|IL33R|ST2|ST2L|FIT1|Fos-responsive gene 1|Ly84|ST2V","5998","IL1RL1","interleukin 1 receptor like 1","02q12.1","","","Q01638","9173","2894","Il1rl1","interleukin 1 receptor-like 1","","","","Q62611","25556","MGI:98427","Il1rl1","interleukin 1 receptor-like 1","","","","P14719","17082"
"catalytic_receptor","312","Immunoglobulin-like family of IL-1 receptors","1736","Interleukin-1 receptor-like 2","","","","IL1RRP2|interleukin-1 receptor-related protein 2","5999","IL1RL2","interleukin 1 receptor like 2","02q12.1","","","Q9HB29","8808","621782","Il1rl2","interleukin 1 receptor-like 2","","","","Q62929","171106","MGI:1913107","Il1rl2","interleukin 1 receptor-like 2","","","","Q9ERS7","107527"
"catalytic_receptor","312","Immunoglobulin-like family of IL-1 receptors","1737","Interleukin-18 1","","","","CD218a|IL1RRP|interleukin 18 receptor 1|Il18ralpha","5988","IL18R1","interleukin 18 receptor 1","02q12.1","","","Q13478","8809","1308589","Il18r1","interleukin 18 receptor 1","","","","","301365","MGI:105383","Il18r1","interleukin 18 receptor 1","","","","Q61098","16182"
"catalytic_receptor","760","Integrins","2437","integrin, alpha 1 subunit","","","","CD49 antigen-like family member A|CD49a|Laminin and collagen receptor|VLA1","6134","ITGA1","integrin subunit alpha 1","5q11.1","NM_181501","NP_852478","P56199","3672","2923","Itga1","integrin subunit alpha 1","2q16-q21","NM_030994","NP_112256","P18614","25118","MGI:96599","Itga1","integrin alpha 1","13 D2.2","NM_001033228","NP_001028400","Q3V3R4","109700"
"catalytic_receptor","760","Integrins","2440","integrin, alpha 2 subunit (CD49B, alpha 2 subunit of VLA-2 receptor)","","","","CD49 antigen-like family member B|CD49B|Collagen receptor|DX5|GPalpha IIb|GPIa|integrin alpha 2|platelet membrane glycoprotein Ia","6137","ITGA2","integrin subunit alpha 2","5q11.2","NM_000419","NP_000410","P08514","3673","621632","Itga2","integrin subunit alpha 2","2q14","","","","170921","MGI:96600","Itga2","integrin alpha 2","13 D2.2","NM_008396","NP_032422","Q62469","16398"
"catalytic_receptor","760","Integrins","2441","integrin, alpha IIb subunit (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)","","","","alphaIIb|CD41|GP IIb|GP2B|GPalpha IIb|GpIIb|GPIIb|platelet membrane glycoprotein Ia|platelet membrane glycoprotein IIb|platelet fibrinogen receptor|integrin, alpha 2B","6138","ITGA2B","integrin subunit alpha 2b","17q21.32","NM_002203","NP_002194","P17301","3674","1596428","Itga2b","integrin subunit alpha 2b","10q32.1","","","","685269","MGI:96601","Itga2b","integrin alpha 2b","11 E1","NM_010575","NP_034705","Q9QUM0","16399"
"catalytic_receptor","760","Integrins","2442","integrin, alpha 3 subunit (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","","","","CD49 antigen-like family member C|CD49c|FRP-2|Galactoprotein B3|GAPB3|Integrin alpha-3|MSK18|VCA-2|VLA-3 alpha 3|integrin, alpha 3","6139","ITGA3","integrin subunit alpha 3","17q21.33","NM_002204|NM_005501","NP_002195|NP_005492","P26006","3675","1310333","Itga3","integrin subunit alpha 3","10q31","XM_003750907|XM_003752369","XP_003750955|XP_003752417","","360606","MGI:96602","Itga3","integrin alpha 3","11 D","NM_013565","NP_038593","Q62470","16400"
"catalytic_receptor","760","Integrins","2443","integrin, alpha 4 subunit (antigen CD49D, alpha 4 subunit of VLA-4 receptor)","","","","CD49 antigen-like family member D|CD49D|integrin alpha-4|lymphocyte Peyer patch adhesion molecules subunit alpha|integrin, alpha 4","6140","ITGA4","integrin subunit alpha 4","2q31-q32","NM_000885","NP_000876","P13612","3676","1593249","Itga4","integrin subunit alpha 4","3q24","","","","311144","MGI:96603","Itga4","integrin alpha 4","2 C3","NM_010576","NP_034706","Q00651","16401"
"catalytic_receptor","760","Integrins","2444","integrin, alpha 5 subunit (fibronectin receptor, alpha polypeptide)","","","","CD49 antigen-like family member E|CD49e|Fibronectin receptor subunit alpha|FNRA|Integrin alpha-F|platelet GpIc","6141","ITGA5","integrin subunit alpha 5","12q11-q13","NM_002205","NP_002196","P08648","3678","2925","Itga5","integrin subunit alpha 5","7q36","","","","315346","MGI:96604","Itga5","integrin alpha 5 (fibronectin receptor alpha)","15 F3","NM_010577","NP_034707","P11688","16402"
"catalytic_receptor","760","Integrins","2445","integrin, alpha 6 subunit","","","","CD49 antigen-like family member F|CD49f|Integrin alpha-6|platelet GpIc","6142","ITGA6","integrin subunit alpha 6","2q31.1","NM_000210|NM_001079818","NP_000201|NP_001073286","P23229","3655","621633","Itga6","integrin subunit alpha 6","3q22","NM_053725","NP_446177","Q924W2","114517","MGI:96605","Itga6","integrin alpha 6","2 C2-C3","NM_001277970|NM_008397","NP_001264899|NP_032423","Q61739","16403"
"catalytic_receptor","760","Integrins","2446","integrin, alpha 7 subunit","","","","&alpha;7","6143","ITGA7","integrin subunit alpha 7","12q13","NM_001144996|NM_001144997|NM_002206","NP_001138468|NP_001138469|NP_002197","Q13683","3679","71022","Itga7","integrin subunit alpha 7","7q11","NM_030842","NP_110469","Q63258","81008","MGI:102700","Itga7","integrin alpha 7","10 D3","NM_008398","NP_032424","Q61738","16404"
"catalytic_receptor","760","Integrins","2447","integrin, alpha 8 subunit","","","","","6144","ITGA8","integrin subunit alpha 8","10p13","NM_003638","NP_003629","P53708","8516","621634","Itga8","integrin subunit alpha 8","17q12.3","NM_001173972","NP_001167443","","364786","MGI:109442","Itga8","integrin alpha 8","2 A1","NM_001001309","NP_001001309","A2ARA8","241226"
"catalytic_receptor","760","Integrins","2448","integrin, alpha 9 subunit","","","","ITGA4L","6145","ITGA9","integrin subunit alpha 9","3p21.3","NM_002207","NP_002198","Q13797","3680","1311191","Itga9","integrin subunit alpha 9","8q32","","","","685004","MGI:104756","Itga9","integrin alpha 9","9 F3","NM_001113514|NM_133721","NP_001106986|NP_598482","B8JK39","104099"
"catalytic_receptor","760","Integrins","2438","integrin, alpha 10 subunit","","","","Integrin alpha-10|collagen receptor","6135","ITGA10","integrin subunit alpha 10","1q21.1","NM_003637","NP_003628","O75578","8515","1305152","Itga10","integrin subunit alpha 10","2q34","NM_001107699","NP_001101169","","310683","MGI:2153482","Itga10","integrin, alpha 10","3 F2.2","NM_001081053","NP_001074522","","213119"
"catalytic_receptor","760","Integrins","2439","integrin, alpha 11 subunit","","","","Integrin alpha-11|collagen receptor","6136","ITGA11","integrin subunit alpha 11","15q22.3-q23","NM_001004439","NP_001004439","Q9UKX5","22801","1311711","Itga11","integrin subunit alpha 11","8q24","","","","315744","MGI:2442114","Itga11","integrin alpha 11","9 B","NM_176922","NP_795896","P61622","319480"
"catalytic_receptor","760","Integrins","2449","integrin, alpha D subunit","","","","ADB2|CD11 antigen-like family member D|CD11d|integrin alpha X|integrin alpha X (Cd11c)|Itgax|Leukointegrin alpha D","6146","ITGAD","integrin subunit alpha D","16p13.1-p11","NM_005353","NP_005344","Q13349","3681","71075","Itgad","integrin subunit alpha D","1q36","NM_031691","NP_113879","Q9QYE7","64350","MGI:3578624","Itgad","integrin, alpha D","7 F3","NM_001029872","NP_001025043","Q3V0T4","381924"
"catalytic_receptor","760","Integrins","2450","integrin, alpha E subunit (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)","","","","HML-1 antigen|Integrin alpha M290|Integrin alpha-E|mucosal lymphocyte 1 antigen|integrin, alpha E","6147","ITGAE","integrin subunit alpha E","17p13","NM_002208","NP_002199","P38570","3682","621644","Itgae","integrin subunit alpha E","10q24","NM_031768","NP_113956","","83577","MGI:1298377","Itgae","integrin alpha E, epithelial-associated","11 B4","NM_008399|NM_172944","NP_032425|NP_766532","Q60677","16407"
"catalytic_receptor","760","Integrins","2451","integrin, alpha L subunit (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","","","","CD11 antigen-like family member A|CD11A|Integrin alpha-L|LFA-1|Ly-15|Ly-21|Lymphocyte antigen 15|integrin, alpha L","6148","ITGAL","integrin subunit alpha L","16p13.1-p11","NM_001114380|NM_002209","NP_001107852|NP_002200","P20701","3683","631424","Itgal","integrin subunit alpha L","1q36","NM_001033998","NP_001029170","","308995","MGI:96606","Itgal","integrin alpha L","7 F3","NM_001253872|NM_001253873|NM_001253874|NM_008400","NP_001240801|NP_001240802|NP_001240803|NP_032426","P24063","16408"
"catalytic_receptor","760","Integrins","2452","integrin, alpha M subunit (complement component 3 receptor 3 subunit)","","","","Cd11b|CD11b (p170), macrophage antigen alpha polypeptide|CD11b/CD18|CR-3 alpha chain|CR3A, CD11B|Integrin beta 2 alpha subunit|Leukocyte adhesion receptor MO1|MAC-1, CD11b|Neutrophil adherence receptor|CD11 antigen-like family member B|integrin, alpha M|integrin","6149","ITGAM","integrin subunit alpha M","16p11.2","NM_000632|NM_001145808","NP_000623|NP_001139280","P11215","3684","2926","Itgam","integrin subunit alpha M","1q36","NM_012711","NP_036843","","25021","MGI:96607","Itgam","integrin alpha M","7 F4","NM_001082960|NM_008401","NP_001076429|NP_032427","P05555","16409"
"catalytic_receptor","760","Integrins","2453","integrin, alpha V subunit","","","","CD51|MSK8|Vitronectin receptor subunit alpha|VNRA|VTNR","6150","ITGAV","integrin subunit alpha V","2q31-q32","NM_001144999|NM_002210","NP_001138471|NP_002201","P06756","3685","1310613","Itgav","integrin subunit alpha V","3q24","","","","296456","MGI:96608","Itgav","integrin alpha V","2 D","NM_008402","NP_032428","P43406","16410"
